vaccine_type,Vaccine_naive,schedule,Group,meanlog,sdlog,dist,mean,sd_square,ratio
PCV7,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Low,0.47940047038184513,0.3520599529618155,lognormal,1.972694689,0.4,
PCV7,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Ref,0.6765989008344663,0.3323401099165534,lognormal,2.402713926,0.4,
PCV7,vaccine_naive,Post dose2: 2-4M or 2-4-6M,High,1.4109647606894018,0.25890352393105986,lognormal,5.007640072,0.4,
PCV7,vaccine_naive,Post dose3: 2-4-6M,Low,0.7266362862468173,0.3273363713753183,lognormal,2.525998137,0.4,
PCV7,vaccine_naive,Post dose3: 2-4-6M,Ref,1.0007083641084253,0.2999291635891575,lognormal,3.322469608,0.4,
PCV7,vaccine_naive,Post dose3: 2-4-6M,High,1.9328179294602326,0.20671820705397675,lognormal,8.438612754,0.4,
PCV7,vaccine_naive,Post toddler: 2-4M/12M,Low,1.4791180767494057,0.2520881923250594,lognormal,5.360826049,0.4,
PCV7,vaccine_naive,Post toddler: 2-4M/12M,Ref,1.6975929406315946,0.23024070593684054,lognormal,6.669820451,0.4,
PCV7,vaccine_naive,Post toddler: 2-4M/12M,High,2.6142342030557826,0.13857657969442178,lognormal,16.68039709,0.4,
PCV13,receive_PPV23_morethan_3y_before,1-dose,Low,0.31883745859937307,0.3681162541400627,lognormal,1.680073359,0.4,
PCV13,receive_PPV23_morethan_3y_before,1-dose,Ref,1.0890364967017603,0.29109635,lognormal,3.62928804,0.4,
PCV13,receive_PPV23_morethan_3y_before,1-dose,High,1.7051406934693225,0.22948593065306777,lognormal,6.720353071,0.4,
PCV13,receive_PPV23_morethan_3y_before,1-dose,ST3,-1.330757419,0.5330757418827458,lognormal,0.322788678,0.4,
PCV13,vaccine_naive,1-dose,Low,1.0719458264133217,0.29280541735866783,lognormal,3.567788109,0.4,
PCV13,vaccine_naive,1-dose,Ref,1.955335879419787,0.2044664120580213,lognormal,8.630788596,0.4,
PCV13,vaccine_naive,1-dose,High,2.509580925057917,0.14904190749420831,lognormal,15.02297844,0.4,
PCV13,vaccine_naive,1-dose,ST3,0.084802994,0.3915197005501932,lognormal,1.329500083,0.4,
PCV13,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Low,-0.052441422,0.405244142,lognormal,1.159001174,0.4,1.92064628
PCV13,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Ref,0.4778091662270582,0.3522190833772942,lognormal,1.969558028,0.4,1.788447687
PCV13,vaccine_naive,Post dose2: 2-4M or 2-4-6M,High,1.2603594394940996,0.27396405605059004,lognormal,4.307507538,0.4,1.428570539
PCV13,vaccine_naive,Post dose2: 2-4M or 2-4-6M,ST3,-0.253865633,0.4253865632617836,lognormal,0.947559419,0.4,1.099820374
PCV13,vaccine_naive,Post dose3: 2-4-6M,Low,0.6002203110588504,0.33997796889411497,lognormal,2.226031294,0.4,
PCV13,vaccine_naive,Post dose3: 2-4-6M,Ref,1.0591571957844081,0.2940842804215592,lognormal,3.522451499,0.4,
PCV13,vaccine_naive,Post dose3: 2-4-6M,High,1.6170337607645677,0.23829662392354323,lognormal,6.153578366,0.4,
PCV13,vaccine_naive,Post dose3: 2-4-6M,ST3,-0.158718763,0.4158718762527501,lognormal,1.042145155,0.4,
PCV13,vaccine_naive,Post toddler: 2-4M/12M,Low,1.2620933895599922,0.2737906610440008,lognormal,4.314983021,0.4,
PCV13,vaccine_naive,Post toddler: 2-4M/12M,Ref,1.5763020136005013,0.2423697986399499,lognormal,5.907968386,0.4,
PCV13,vaccine_naive,Post toddler: 2-4M/12M,High,1.9243875593407835,0.20756124406592166,lognormal,8.367771155,0.4,
PCV13,vaccine_naive,Post toddler: 2-4M/12M,ST3,-0.17101062,0.4171010619508864,lognormal,1.029413663,0.4,
PCV15,receive_PPV23_morethan_3y_before,1-dose,Low,0.7556445918522101,0.324435541,lognormal,2.600346205,0.4,
PCV15,receive_PPV23_morethan_3y_before,1-dose,Ref,1.046572610522925,0.2953427389477075,lognormal,3.47840067,0.4,
PCV15,receive_PPV23_morethan_3y_before,1-dose,High,1.7009259163883708,0.22990740836116294,lognormal,6.692087888,0.4,
PCV15,receive_PPV23_morethan_3y_before,1-dose,ST3,-0.89632867,0.489632867,lognormal,0.498411783,0.4,
PCV15,vaccine_naive,1-dose,Low,0.8859857552373014,0.3114014244762699,lognormal,2.96235854,0.4,
PCV15,vaccine_naive,1-dose,Ref,1.410699497073869,0.25893005029261307,lognormal,5.006311904,0.4,
PCV15,vaccine_naive,1-dose,High,2.024361252698718,0.19756387473012824,lognormal,9.247574054,0.4,
PCV15,vaccine_naive,1-dose,ST3,-0.165178743,0.41651787430965603,lognormal,1.035434615,0.4,
PCV15,vaccine_naive,Post dose3: 2-4-6M,Low,-0.037297374,0.40372973743574386,lognormal,1.176686721,0.4,
PCV15,vaccine_naive,Post dose3: 2-4-6M,Ref,0.32670345686888824,0.3673296543131112,lognormal,1.693340926,0.4,
PCV15,vaccine_naive,Post dose3: 2-4-6M,High,1.2945692683067758,0.27054307316932247,lognormal,4.457416189,0.4,
PCV15,vaccine_naive,Post dose3: 2-4-6M,ST3,-0.158197912,0.4158197912034013,lognormal,1.042688098,0.4,
PCV20,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Low,-1.610436502,0.5610436501874995,lognormal,0.244036737,0.4,3.933139459
PCV20,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Ref,-0.220134806,0.42201348062027033,lognormal,0.980066545,0.4,2.136283965
PCV20,vaccine_naive,Post dose2: 2-4M or 2-4-6M,High,0.3545863027385149,0.36454136972614853,lognormal,1.741220498,0.4,2.22833085
PCV20,vaccine_naive,Post dose2: 2-4M or 2-4-6M,ST3,-1.328581943,0.5328581943383472,lognormal,0.323491661,0.4,1.40866902
PCV20,vaccine_naive,Post dose3: 2-4-6M,Low,-0.24099855,0.4240998550338567,lognormal,0.959830521,0.4,0.815706087
PCV20,vaccine_naive,Post dose3: 2-4-6M,Ref,0.5389330483803878,0.34610669516196124,lognormal,2.093700445,0.4,1.236431727
PCV20,vaccine_naive,Post dose3: 2-4-6M,High,1.1558391103844716,0.28441608896155285,lognormal,3.880015352,0.4,0.870462884
PCV20,vaccine_naive,Post dose3: 2-4-6M,ST3,-0.985936642,0.4985936642407612,lognormal,0.455692681,0.4,0.437036427
PCV20,vaccine_naive,Post toddler: 2-4M/12M,Low,0.6335050298078528,0.33664949701921476,lognormal,2.301370994,0.4,
PCV20,vaccine_naive,Post toddler: 2-4M/12M,Ref,1.3104905534875548,0.26895094465124453,lognormal,4.528951943,0.4,
PCV20,vaccine_naive,Post toddler: 2-4M/12M,High,2.047307804541438,0.19526921954585622,lognormal,9.462227349,0.4,
PCV20,vaccine_naive,Post toddler: 2-4M/12M,ST3,-0.64643658,0.46464365795431584,lognormal,0.639904342,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,Low,-0.07742876,0.407742876,lognormal,1.130399647,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,Ref,0.8725962752095553,0.3127403724790445,lognormal,2.922958462,0.4,
PPV23,receive_PPV23_morethan_5y_before,1-dose,High,1.592162869549322,0.24078371304506782,lognormal,6.00242089,0.4,
PPV23,vaccine_naive,1-dose,Low,0.056959632,0.3943040368086391,lognormal,1.29299293,0.4,
PPV23,vaccine_naive,1-dose,Ref,0.9892261679451488,0.30107738320548516,lognormal,3.284538543,0.4,
PPV23,vaccine_naive,1-dose,High,1.7869921825628825,0.22130078174371176,lognormal,7.293563031,0.4,
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Low,-0.595745974,0.4,lognormal,0.402025894,0.4,2.92689287
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,Ref,-0.264035567,0.4,lognormal,0.862907876,0.4,1.962365826
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,High,0.186999932,0.4,lognormal,2.437810438,0.4,1.828450695
PCV15,vaccine_naive,Post dose2: 2-4M or 2-4-6M,ST3,-0.280227857,0.4,lognormal,0.831327492,0.4,1.254244697
PCV15,vaccine_naive,Post dose1,Low,-1.062152801,0.4,lognormal,0.137355862,0.4,2.92689287
PCV15,vaccine_naive,Post dose1,Ref,-0.556815539,0.4,lognormal,0.439728344,0.4,1.962365826
PCV15,vaccine_naive,Post dose1,High,-0.075083322,0.4,lognormal,1.333265614,0.4,1.828450695
PCV15,vaccine_naive,Post dose1,ST3,-0.378610131,0.4,lognormal,0.662811247,0.4,1.254244697
PCV20,vaccine_naive,Post dose1,Low,-1.407284136,0.4,lognormal,0.062046297,0.4,
PCV20,vaccine_naive,Post dose1,Ref,-0.538403416,0.4,lognormal,0.458771662,0.4,
PCV20,vaccine_naive,Post dose1,High,-0.307125902,0.4,lognormal,0.781401244,0.4,
PCV20,vaccine_naive,Post dose1,ST3,-0.838945874,0.4,lognormal,0.229643484,0.4,
PCV20,vaccine_naive,1-dose,Low,0.183171324,0.4,lognormal,2.416413893,0.4,
PCV20,vaccine_naive,1-dose,Ref,0.591688044,0.4,lognormal,6.189962872,0.4,
PCV20,vaccine_naive,1-dose,High,0.705778076,0.4,lognormal,8.049669983,0.4,
PCV20,vaccine_naive,1-dose,ST3,-0.544359683,0.4,lognormal,0.452522645,0.4,
PCV15,vaccine_naive,Post toddler: 2-4M/12M,Low,0.206730596,0.4,lognormal,2.551118287,0.4,3.308177008
PCV15,vaccine_naive,Post toddler: 2-4M/12M,Ref,0.312086881,0.4,lognormal,3.251523381,0.4,5.218460165
PCV15,vaccine_naive,Post toddler: 2-4M/12M,High,0.727668834,0.4,lognormal,8.465816176,0.4,8.914999252
PCV15,vaccine_naive,Post toddler: 2-4M/12M,ST3,-0.104109183,0.4,lognormal,1.247069959,0.4,0.834659003